Title,Relevant,Reason for relevancy,Reviewer 2,Link,Source,Search String,Search Criteria,Publication or Preprints,English,Tool,Less than 8 pages,No Empirical Data,Secondary Studies,Tool Available,Tool Installed/Executed,Repo Link,Quantitative evaluation,User study,Traditional Method,Deep Learning,LLM,Traces,Logs,Metrics,Other Data Type,Anomaly Type Discussed,
Computational Argumentation-based Clinical Decision Support,No,Unrelated to software maintenance/operations,,https://dl.acm.org/doi/10.5555/3306127.3332107,ACM,,,,,,,,,,,,,,,,,,,,,,
The rise of serverless computing,No,Unrelated to software maintenance/operations,,https://dl.acm.org/doi/10.1145/3368454,ACM,,,,,,,,,,,,,,,,,,,,,,
Machine Learning as a Service: Challenges in Research and Applications,No,Unrelated to software maintenance/operations,,https://dl.acm.org/doi/10.1145/3428757.3429152,ACM,,,,,,,,,,,,,,,,,,,,,,
A private cloud-based Datalab for scalable DSML pipelines,No,Unrelated to software maintenance/operations,,https://dl.acm.org/doi/10.1145/3607720.3607744,ACM,,,,,,,,,,,,,,,,,,,,,,
TILT: A GDPR-Aligned Transparency Information Language and Toolkit for Practical Privacy Engineering,No,Unrelated to software maintenance/operations,,https://dl.acm.org/doi/10.1145/3442188.3445925,ACM,,,,,,,,,,,,,,,,,,,,,,
CoderEval: A Benchmark of Pragmatic Code Generation with Generative Pre-trained Models,No,Unrelated to software maintenance/operations,,https://dl.acm.org/doi/10.1145/3597503.3623316,ACM,,,,,,,,,,,,,,,,,,,,,,
A light-weight low-code platform for back-end automation,No,Unrelated to software maintenance/operations,,https://dl.acm.org/doi/10.1145/3550356.3561590,ACM,,,,,,,,,,,,,,,,,,,,,,
An Agile Pathway Towards Carbon-aware Clouds,No,Unrelated to software maintenance/operations,,https://dl.acm.org/doi/10.1145/3604930.3605722,ACM,,,,,,,,,,,,,,,,,,,,,,
NLUBroker: A QoE-driven Broker System for Natural Language Understanding Services,No,Unrelated to software maintenance/operations,,https://dl.acm.org/doi/10.1145/3497807,ACM,,,,,,,,,,,,,,,,,,,,,,
Standardized representations and markup languages for multimodal interaction,No,Unrelated to software maintenance/operations,,https://dl.acm.org/doi/10.1145/3233795.3233806,ACM,,,,,,,,,,,,,,,,,,,,,,
Courier: delivering serverless functions within heterogeneous FaaS deployments,No,Unrelated to software maintenance/operations,,https://dl.acm.org/doi/10.1145/3468737.3494097,ACM,,,,,,,,,,,,,,,,,,,,,,
FADER: An Authoring Tool for Creating Augmented Reality-Based Avatars from an End-User Perspective,No,Unrelated to software maintenance/operations,,https://dl.acm.org/doi/10.1145/3543758.3543778,ACM,,,,,,,,,,,,,,,,,,,,,,
OurStrategy: Employee Voice In Transnational Strategy Development,No,Unrelated to software maintenance/operations,,https://dl.acm.org/doi/10.1145/3544548.3581487,ACM,,,,,,,,,,,,,,,,,,,,,,
Interference-aware Multiplexing for Deep Learning in GPU Clusters: A Middleware Approach,No,Unrelated to software maintenance/operations,,https://dl.acm.org/doi/10.1145/3581784.3607060,ACM,,,,,,,,,,,,,,,,,,,,,,
Secure and Trustworthy Artificial Intelligence-extended Reality (AI-XR) for Metaverses,No,Unrelated to software maintenance/operations,,https://dl.acm.org/doi/10.1145/3614426,ACM,,,,,,,,,,,,,,,,,,,,,,
,4,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Rejected,0,0,1,3,0,0,,,,,,,,,,,,,,
